run_id,subject,delivery,study,prompt_id,skill,rep,triggered,outcome_ok,cost_usd,tokens_in,tokens_out,tool_invocations,turns,wall_s,timing_valid,format_adherence,scope_discipline,honesty
claude-haiku__native__F1__r2,claude-haiku,native,work,F1,tiered-feature,2,False,False,0.0248025,64181,598,2,3,8.76,True,0,2,2
claude-haiku__native__F2__r1,claude-haiku,native,work,F2,tiered-feature,1,False,False,0.024787200000000002,64161,598,2,3,8.99,True,0,2,1
claude-haiku__native__F2__r2,claude-haiku,native,work,F2,tiered-feature,2,False,False,0.0246247,64169,568,2,3,8.87,True,0,2,2
claude-haiku__native__F3__r1,claude-haiku,native,work,F3,tiered-feature,1,False,False,0.024840800000000003,64168,612,2,3,9.0,True,0,2,2
claude-haiku__native__F3__r2,claude-haiku,native,work,F3,tiered-feature,2,False,False,0.0251094,64151,671,2,3,8.98,True,0,2,2
claude-haiku__native__G1__r1,claude-haiku,native,work,G1,tiered-guidance,1,False,False,0.025586700000000004,64290,731,2,3,18.71,True,0,2,2
claude-haiku__native__G1__r2,claude-haiku,native,work,G1,tiered-guidance,2,False,False,0.0286367,86324,794,3,4,14.78,True,0,2,2
claude-haiku__native__G2__r1,claude-haiku,native,work,G2,tiered-guidance,1,False,False,0.0248191,64177,609,2,3,10.94,True,0,2,2
claude-haiku__native__G2__r2,claude-haiku,native,work,G2,tiered-guidance,2,False,False,0.0245937,64131,577,2,3,10.65,True,0,2,2
claude-haiku__native__G3__r1,claude-haiku,native,work,G3,tiered-guidance,1,False,False,0.024960899999999998,64258,608,2,3,11.08,True,0,2,2
claude-haiku__native__G3__r2,claude-haiku,native,work,G3,tiered-guidance,2,False,False,0.025790300000000002,64415,743,2,3,939.03,False,0,2,2
claude-haiku__native__H1__r1,claude-haiku,native,branch,H1,harness-stamp,1,True,True,0.0318944,87711,1190,5,7,15.28,True,2,2,2
claude-haiku__native__H1__r2,claude-haiku,native,branch,H1,harness-stamp,2,True,True,0.0292599,65092,1161,4,6,15.43,True,2,2,2
claude-haiku__native__H2__r1,claude-haiku,native,branch,H2,harness-stamp,1,True,True,0.033246899999999996,88095,1381,5,7,17.28,True,2,2,2
claude-haiku__native__H2__r2,claude-haiku,native,branch,H2,harness-stamp,2,True,True,0.031422900000000004,87633,1106,5,7,14.64,True,2,2,2
claude-haiku__native__R1__r1,claude-haiku,native,work,R1,tool-gated-review,1,True,True,0.06117455,134206,1393,6,7,28.41,True,2,2,2
claude-haiku__native__R1__r2,claude-haiku,native,work,R1,tool-gated-review,2,True,True,0.10833835,88508,1339,10,6,74.46,True,2,2,2
claude-haiku__native__R2__r1,claude-haiku,native,work,R2,tool-gated-review,1,True,True,0.05218759999999999,158474,1686,6,8,30.87,True,2,2,2
claude-haiku__native__R2__r2,claude-haiku,native,work,R2,tool-gated-review,2,True,False,0.0506061,134792,1666,6,7,28.09,True,2,2,2
claude-haiku__native__R3__r1,claude-haiku,native,work,R3,tool-gated-review,1,True,True,0.04982015,134315,1505,6,7,28.8,True,2,2,2
claude-haiku__native__R3__r2,claude-haiku,native,work,R3,tool-gated-review,2,True,True,0.04576575000000001,110705,1367,6,7,23.32,True,2,2,2
claude-haiku__native__T1__r1,claude-haiku,native,branch,T1,tier-stamp,1,True,True,0.031459,87659,1107,5,7,14.28,True,2,2,2
claude-haiku__native__T1__r2,claude-haiku,native,branch,T1,tier-stamp,2,True,True,0.0272906,64832,889,4,6,24.06,True,2,2,2
claude-haiku__native__T2__r1,claude-haiku,native,branch,T2,tier-stamp,1,True,True,0.030027099999999998,87320,892,5,7,11.51,True,2,2,2
claude-haiku__native__T2__r2,claude-haiku,native,branch,T2,tier-stamp,2,True,True,0.0319773,87908,1173,5,7,14.56,True,2,2,2
claude-haiku__native__V1__r1,claude-haiku,native,branch,V1,vendor-stamp,1,True,True,0.0318302,87727,1170,5,7,12.2,True,2,2,2
claude-haiku__native__V1__r2,claude-haiku,native,branch,V1,vendor-stamp,2,True,True,0.031111099999999996,87558,1063,5,7,13.27,True,2,2,2
claude-haiku__native__V2__r1,claude-haiku,native,branch,V2,vendor-stamp,1,True,True,0.030702099999999996,87422,1009,5,7,13.77,True,2,2,2
claude-haiku__native__V2__r2,claude-haiku,native,branch,V2,vendor-stamp,2,True,True,0.0310538,87559,1050,5,7,13.19,True,2,2,2
claude-haiku__none__B1__r1,claude-haiku,none,work,B1,,1,False,True,0.024681300000000003,63996,609,2,3,8.7,True,,,
claude-haiku__none__B1__r2,claude-haiku,none,work,B1,,2,False,True,0.029288400000000003,86237,920,3,4,12.21,True,,,
claude-haiku__none__B2__r1,claude-haiku,none,work,B2,,1,False,True,0.0245814,63961,592,2,3,8.57,True,,,
claude-haiku__none__B2__r2,claude-haiku,none,work,B2,,2,False,True,0.0242756,63962,535,2,3,8.02,True,,,
claude-haiku__none__B3__r1,claude-haiku,none,work,B3,,1,False,True,0.0246591,64052,589,2,3,8.5,True,,,
claude-haiku__none__B3__r2,claude-haiku,none,work,B3,,2,False,True,0.0244453,64028,549,2,3,8.12,True,,,
claude-haiku__none__BR1__r1,claude-haiku,none,work,BR1,,1,False,False,0.021891,42235,651,1,2,8.56,True,,,
claude-haiku__none__BR1__r2,claude-haiku,none,work,BR1,,2,False,True,0.0223753,42230,751,1,2,10.57,True,,,
claude-haiku__none__BR2__r1,claude-haiku,none,work,BR2,,1,False,True,0.022301299999999996,42258,725,1,2,9.55,True,,,
claude-haiku__none__BR2__r2,claude-haiku,none,work,BR2,,2,False,True,0.0214753,42240,567,1,2,8.91,True,,,
claude-haiku__none__BR3__r1,claude-haiku,none,work,BR3,,1,False,False,0.021377100000000003,42234,549,1,2,8.25,True,,,
claude-haiku__none__BR3__r2,claude-haiku,none,work,BR3,,2,False,True,0.10683420000000002,132869,1439,18,6,73.8,True,,,
claude-haiku__pointer__F1__r1,claude-haiku,pointer,work,F1,tiered-feature,1,False,False,0.0297222,87133,906,3,4,11.88,True,0,2,2
claude-haiku__pointer__F1__r2,claude-haiku,pointer,work,F1,tiered-feature,2,True,True,0.041381299999999996,135824,1701,6,7,83.26,True,2,2,2
claude-haiku__pointer__F2__r1,claude-haiku,pointer,work,F2,tiered-feature,1,True,True,0.044478199999999996,158436,1459,6,8,31.78,True,2,2,2
claude-haiku__pointer__F2__r2,claude-haiku,pointer,work,F2,tiered-feature,2,True,True,0.037609699999999996,135240,1159,6,7,28.84,True,2,2,2
claude-haiku__pointer__F3__r1,claude-haiku,pointer,work,F3,tiered-feature,1,True,True,0.0324705,67045,1077,5,7,26.85,True,2,2,2
claude-haiku__pointer__F3__r2,claude-haiku,pointer,work,F3,tiered-feature,2,False,False,0.0254805,64648,676,2,3,52.77,True,0,2,2
claude-haiku__pointer__G1__r1,claude-haiku,pointer,work,G1,tiered-guidance,1,True,True,0.05841400000000001,234179,2703,9,10,31.93,True,1,2,2
claude-haiku__pointer__G1__r2,claude-haiku,pointer,work,G1,tiered-guidance,2,True,True,0.0590224,235382,2763,9,10,33.3,True,1,2,1
claude-haiku__pointer__G2__r1,claude-haiku,pointer,work,G2,tiered-guidance,1,True,True,0.06486120000000001,281508,2883,11,12,34.6,True,2,2,2
claude-haiku__pointer__G2__r2,claude-haiku,pointer,work,G2,tiered-guidance,2,True,True,0.0513758,163354,2674,10,11,28.04,True,2,2,2
claude-haiku__pointer__G3__r1,claude-haiku,pointer,work,G3,tiered-guidance,1,True,True,0.0391099,113991,1708,7,8,16.49,True,1,2,2
claude-haiku__pointer__G3__r2,claude-haiku,pointer,work,G3,tiered-guidance,2,True,True,0.0650367,284661,2852,12,13,27.96,True,2,2,1
claude-haiku__pointer__H1__r1,claude-haiku,pointer,branch,H1,harness-stamp,1,True,True,0.0382375,133757,1402,5,6,18.56,True,2,2,2
claude-haiku__pointer__H1__r2,claude-haiku,pointer,branch,H1,harness-stamp,2,True,True,0.0300338,65795,1224,4,5,15.15,True,2,2,2
claude-haiku__pointer__H2__r1,claude-haiku,pointer,branch,H2,harness-stamp,1,True,True,0.0343562,88642,1480,5,6,15.11,True,2,2,2
claude-haiku__pointer__H2__r2,claude-haiku,pointer,branch,H2,harness-stamp,2,True,True,0.0334491,88890,1351,5,6,15.73,True,2,2,2
claude-haiku__pointer__R1__r1,claude-haiku,pointer,work,R1,tool-gated-review,1,True,True,0.057923,182938,2024,7,8,71.12,True,2,2,2
claude-haiku__pointer__R1__r2,claude-haiku,pointer,work,R1,tool-gated-review,2,True,False,0.0613529,112438,1512,10,6,77.18,True,1,2,1
claude-haiku__pointer__R2__r1,claude-haiku,pointer,work,R2,tool-gated-review,1,True,True,0.07067355,89176,1297,10,5,89.91,True,2,2,2
claude-haiku__pointer__R2__r2,claude-haiku,pointer,work,R2,tool-gated-review,2,True,False,0.13637795,51586,427,16,2,354.82,True,0,1,1
claude-haiku__pointer__R3__r1,claude-haiku,pointer,work,R3,tool-gated-review,1,True,True,0.05803970000000001,183990,2137,7,8,199.44,True,2,2,2
claude-haiku__pointer__R3__r2,claude-haiku,pointer,work,R3,tool-gated-review,2,True,False,0.11352669999999998,159793,1877,11,7,172.01,True,2,2,2
claude-haiku__pointer__T1__r1,claude-haiku,pointer,branch,T1,tier-stamp,1,True,True,0.033063100000000005,88812,1286,5,6,15.16,True,2,2,2
claude-haiku__pointer__T1__r2,claude-haiku,pointer,branch,T1,tier-stamp,2,True,True,0.0332481,88440,1297,5,6,15.43,True,2,2,2
claude-haiku__pointer__T2__r1,claude-haiku,pointer,branch,T2,tier-stamp,1,True,True,0.0332341,88329,1312,5,6,15.78,True,2,2,2
claude-haiku__pointer__T2__r2,claude-haiku,pointer,branch,T2,tier-stamp,2,True,True,0.031482800000000005,88388,1051,5,6,12.94,True,2,2,2
claude-haiku__pointer__V1__r1,claude-haiku,pointer,branch,V1,vendor-stamp,1,True,True,0.0352182,111421,1252,5,6,16.3,True,2,2,2
claude-haiku__pointer__V1__r2,claude-haiku,pointer,branch,V1,vendor-stamp,2,True,True,0.0344207,111010,1141,5,6,13.89,True,2,2,2
claude-haiku__pointer__V2__r1,claude-haiku,pointer,branch,V2,vendor-stamp,1,True,True,0.0318651,88497,1104,5,6,13.2,True,2,2,2
claude-haiku__pointer__V2__r2,claude-haiku,pointer,branch,V2,vendor-stamp,2,True,True,0.028951900000000003,65695,1067,4,5,11.8,True,2,2,2
claude-opus__inline__F1__r1,claude-opus,inline,work,F1,tiered-feature,1,True,True,0.28686199999999995,199339,2983,9,10,66.02,True,2,2,2
claude-opus__inline__F1__r2,claude-opus,inline,work,F1,tiered-feature,2,True,True,0.270455,174114,3196,8,9,98.29,True,2,2,2
claude-opus__inline__F2__r1,claude-opus,inline,work,F2,tiered-feature,1,True,True,0.1788115,92549,1733,4,5,23.76,True,2,2,2
claude-opus__inline__F2__r2,claude-opus,inline,work,F2,tiered-feature,2,True,True,0.19297749999999997,93615,2102,4,5,25.77,True,2,2,2
claude-opus__inline__F3__r1,claude-opus,inline,work,F3,tiered-feature,1,True,True,0.196013,93634,2182,4,5,26.63,True,2,2,2
claude-opus__inline__F3__r2,claude-opus,inline,work,F3,tiered-feature,2,True,True,0.2143585,113693,2455,5,6,30.77,True,2,2,2
claude-opus__inline__G1__r1,claude-opus,inline,work,G1,tiered-guidance,1,True,True,0.141118,71449,1066,3,4,16.38,True,2,2,2
claude-opus__inline__G1__r2,claude-opus,inline,work,G1,tiered-guidance,2,True,True,0.1250325,53168,841,2,3,12.66,True,2,2,2
claude-opus__inline__G2__r1,claude-opus,inline,work,G2,tiered-guidance,1,True,True,0.1273765,53248,921,2,3,13.94,True,2,2,2
claude-opus__inline__G2__r2,claude-opus,inline,work,G2,tiered-guidance,2,True,True,0.12330250000000001,53124,797,2,3,12.87,True,2,2,2
claude-opus__inline__G3__r1,claude-opus,inline,work,G3,tiered-guidance,1,True,True,0.1224105,53104,764,2,3,11.56,True,2,2,2
claude-opus__inline__G3__r2,claude-opus,inline,work,G3,tiered-guidance,2,True,True,0.11875500000000003,53164,620,2,3,10.3,True,2,2,2
claude-opus__inline__H1__r1,claude-opus,inline,branch,H1,harness-stamp,1,True,True,0.09739700000000001,34470,431,1,2,7.41,True,2,2,2
claude-opus__inline__H1__r2,claude-opus,inline,branch,H1,harness-stamp,2,True,True,0.0974435,34465,436,1,2,8.24,True,2,2,2
claude-opus__inline__H2__r1,claude-opus,inline,branch,H2,harness-stamp,1,True,True,0.096789,34458,413,1,2,7.23,True,2,2,2
claude-opus__inline__H2__r2,claude-opus,inline,branch,H2,harness-stamp,2,True,True,0.09856899999999999,34496,469,1,2,12.87,True,2,2,2
claude-opus__inline__R1__r1,claude-opus,inline,work,R1,tool-gated-review,1,True,True,0.26757625,73166,1911,4,4,35.24,True,2,2,2
claude-opus__inline__R1__r2,claude-opus,inline,work,R1,tool-gated-review,2,True,True,0.25601075,73177,1623,4,4,28.77,True,2,2,2
claude-opus__inline__R2__r1,claude-opus,inline,work,R2,tool-gated-review,1,True,True,0.21844424999999998,55314,1550,5,4,29.33,True,2,2,2
claude-opus__inline__R2__r2,claude-opus,inline,work,R2,tool-gated-review,2,True,True,0.21550675,73949,1587,5,5,29.95,True,2,2,2
claude-opus__inline__R3__r1,claude-opus,inline,work,R3,tool-gated-review,1,True,True,0.21966675,73430,1637,4,4,31.57,True,2,2,2
claude-opus__inline__R3__r2,claude-opus,inline,work,R3,tool-gated-review,2,True,True,0.210384,55597,1752,4,4,31.24,True,2,2,2
claude-opus__inline__T1__r1,claude-opus,inline,branch,T1,tier-stamp,1,True,True,0.11202899999999999,52032,575,2,3,10.68,True,2,2,2
claude-opus__inline__T1__r2,claude-opus,inline,branch,T1,tier-stamp,2,True,True,0.1115245,52029,545,2,3,10.39,True,2,2,2
claude-opus__inline__T2__r1,claude-opus,inline,branch,T2,tier-stamp,1,True,True,0.11757750000000002,52281,738,2,3,20.87,True,2,2,2
claude-opus__inline__T2__r2,claude-opus,inline,branch,T2,tier-stamp,2,True,True,0.1140765,52097,629,2,3,23.07,True,2,2,2
claude-opus__inline__V1__r1,claude-opus,inline,branch,V1,vendor-stamp,1,True,True,0.103241,34867,509,1,2,9.06,True,2,2,2
claude-opus__inline__V1__r2,claude-opus,inline,branch,V1,vendor-stamp,2,True,True,0.098486,34564,440,1,2,7.81,True,2,2,2
claude-opus__inline__V2__r1,claude-opus,inline,branch,V2,vendor-stamp,1,True,True,0.099674,34759,408,1,2,7.71,True,2,2,2
claude-opus__inline__V2__r2,claude-opus,inline,branch,V2,vendor-stamp,2,True,True,0.1085325,35022,656,1,2,10.19,True,2,2,2
claude-opus__native__F1__r1,claude-opus,native,work,F1,tiered-feature,1,True,True,0.201402,110215,2183,5,7,28.42,True,2,2,2
claude-opus__native__F1__r2,claude-opus,native,work,F1,tiered-feature,2,True,True,0.1777145,90893,1742,4,6,23.07,True,2,2,2
claude-opus__native__F2__r1,claude-opus,native,work,F2,tiered-feature,1,True,True,0.19049649999999999,109466,1856,5,7,25.28,True,2,2,2
claude-opus__native__F2__r2,claude-opus,native,work,F2,tiered-feature,2,True,True,0.21172399999999997,112290,2193,5,7,28.61,True,2,2,2
claude-opus__native__F3__r1,claude-opus,native,work,F3,tiered-feature,1,True,True,0.235266,150351,2497,7,9,32.76,True,2,2,2
claude-opus__native__F3__r2,claude-opus,native,work,F3,tiered-feature,2,True,True,0.252366,188239,2440,9,11,32.23,True,2,2,2
claude-opus__native__G1__r1,claude-opus,native,work,G1,tiered-guidance,1,True,True,0.15193949999999998,89275,1058,4,6,34.32,True,2,2,2
claude-opus__native__G1__r2,claude-opus,native,work,G1,tiered-guidance,2,True,True,0.14717,71034,1202,3,5,35.13,True,2,2,2
claude-opus__native__G2__r1,claude-opus,native,work,G2,tiered-guidance,1,True,True,0.1372965,70592,909,3,5,36.83,True,2,2,2
claude-opus__native__G2__r2,claude-opus,native,work,G2,tiered-guidance,2,True,True,0.123212,52890,765,3,5,35.55,True,2,2,2
claude-opus__native__G3__r1,claude-opus,native,work,G3,tiered-guidance,1,True,True,0.136272,70628,873,3,5,38.69,True,2,2,2
claude-opus__native__G3__r2,claude-opus,native,work,G3,tiered-guidance,2,True,True,0.1369255,70844,880,3,5,32.36,True,2,2,2
claude-opus__native__H1__r1,claude-opus,native,branch,H1,harness-stamp,1,True,True,0.10866900000000002,51698,464,2,4,8.59,True,2,2,2
claude-opus__native__H1__r2,claude-opus,native,branch,H1,harness-stamp,2,True,True,0.11113700000000001,51816,514,2,4,9.2,True,2,2,2
claude-opus__native__H2__r1,claude-opus,native,branch,H2,harness-stamp,1,True,True,0.11317200000000001,52019,518,2,4,8.59,True,2,2,2
claude-opus__native__H2__r2,claude-opus,native,branch,H2,harness-stamp,2,True,True,0.11379500000000001,52025,539,2,4,9.01,True,2,2,2
claude-opus__native__R1__r1,claude-opus,native,work,R1,tool-gated-review,1,True,True,0.5579872499999999,71949,1395,8,5,97.0,True,2,2,2
claude-opus__native__R1__r2,claude-opus,native,work,R1,tool-gated-review,2,True,True,0.46701399999999993,91427,1448,7,6,76.56,True,2,2,2
claude-opus__native__R2__r1,claude-opus,native,work,R2,tool-gated-review,1,True,True,0.504488,72307,1503,7,5,101.58,True,2,2,2
claude-opus__native__R2__r2,claude-opus,native,work,R2,tool-gated-review,2,True,True,0.351604,92333,1816,8,7,60.69,True,2,2,1
claude-opus__native__R3__r1,claude-opus,native,work,R3,tool-gated-review,1,True,True,0.6673092500000001,72455,1421,7,5,111.59,True,1,2,1
claude-opus__native__R3__r2,claude-opus,native,work,R3,tool-gated-review,2,True,True,0.368851,72326,1465,7,5,68.69,True,2,2,1
claude-opus__native__T1__r1,claude-opus,native,branch,T1,tier-stamp,1,True,True,0.1098335,51751,489,2,4,9.75,True,2,2,2
claude-opus__native__T1__r2,claude-opus,native,branch,T1,tier-stamp,2,True,True,0.1112485,51815,520,2,4,9.8,True,2,2,2
claude-opus__native__T2__r1,claude-opus,native,branch,T2,tier-stamp,1,True,True,0.11550150000000001,52139,559,2,4,9.87,True,2,2,2
claude-opus__native__T2__r2,claude-opus,native,branch,T2,tier-stamp,2,True,True,0.1118315,51757,565,2,4,13.76,True,2,2,2
claude-opus__native__V1__r1,claude-opus,native,branch,V1,vendor-stamp,1,True,True,0.11036850000000001,52026,408,2,4,8.21,True,2,2,2
claude-opus__native__V1__r2,claude-opus,native,branch,V1,vendor-stamp,2,True,True,0.1104435,52026,411,2,4,8.76,True,2,2,2
claude-opus__native__V2__r1,claude-opus,native,branch,V2,vendor-stamp,1,True,True,0.11039949999999998,52014,411,2,4,8.39,True,2,2,2
claude-opus__native__V2__r2,claude-opus,native,branch,V2,vendor-stamp,2,True,True,0.10902449999999998,51824,432,2,4,7.88,True,2,2,2
claude-opus__none__B1__r1,claude-opus,none,work,B1,,1,False,True,0.1176295,51659,732,2,3,12.87,True,,,
claude-opus__none__B1__r2,claude-opus,none,work,B1,,2,False,True,0.11596000000000001,51753,628,2,3,10.14,True,,,
claude-opus__none__B2__r1,claude-opus,none,work,B2,,1,False,True,0.11378449999999998,51643,577,2,3,9.45,True,,,
claude-opus__none__B2__r2,claude-opus,none,work,B2,,2,False,True,0.1276775,69590,713,3,4,12.67,True,,,
claude-opus__none__B3__r1,claude-opus,none,work,B3,,1,False,True,0.1223645,51985,791,2,3,11.66,True,,,
claude-opus__none__B3__r2,claude-opus,none,work,B3,,2,False,True,0.131038,69841,793,3,4,12.67,True,,,
claude-opus__none__BR1__r1,claude-opus,none,work,BR1,,1,False,True,0.14851799999999998,68726,1714,3,4,24.87,True,,,
claude-opus__none__BR1__r2,claude-opus,none,work,BR1,,2,False,True,0.13809749999999998,68618,1321,3,4,19.76,True,,,
claude-opus__none__BR2__r1,claude-opus,none,work,BR2,,1,False,True,0.129254,68556,997,3,4,16.39,True,,,
claude-opus__none__BR2__r2,claude-opus,none,work,BR2,,2,False,True,0.134442,68780,1140,3,4,20.06,True,,,
claude-opus__none__BR3__r1,claude-opus,none,work,BR3,,1,False,True,0.1026925,33814,784,1,2,12.23,True,,,
claude-opus__none__BR3__r2,claude-opus,none,work,BR3,,2,False,True,0.1238295,51579,1069,2,3,16.11,True,,,
claude-opus__pointer__F1__r1,claude-opus,pointer,work,F1,tiered-feature,1,True,True,0.18778549999999997,93523,1941,5,6,22.26,True,2,2,2
claude-opus__pointer__F1__r2,claude-opus,pointer,work,F1,tiered-feature,2,True,True,0.27906200000000003,160052,3546,9,10,43.18,True,2,2,2
claude-opus__pointer__F2__r1,claude-opus,pointer,work,F2,tiered-feature,1,True,True,0.2201865,114493,2568,6,7,31.78,True,2,2,2
claude-opus__pointer__F2__r2,claude-opus,pointer,work,F2,tiered-feature,2,True,True,0.256586,174955,2469,8,9,31.4,True,2,2,2
claude-opus__pointer__F3__r1,claude-opus,pointer,work,F3,tiered-feature,1,True,True,0.1849175,93575,1864,5,6,22.6,True,2,2,2
claude-opus__pointer__F3__r2,claude-opus,pointer,work,F3,tiered-feature,2,True,True,0.17673049999999998,92955,1536,4,5,21.28,True,2,2,2
claude-opus__pointer__G1__r1,claude-opus,pointer,work,G1,tiered-guidance,1,True,True,0.17267700000000002,92694,1525,5,6,21.52,True,2,2,2
claude-opus__pointer__G1__r2,claude-opus,pointer,work,G1,tiered-guidance,2,True,True,0.17140750000000002,92225,1514,5,6,28.58,True,2,2,2
claude-opus__pointer__G2__r1,claude-opus,pointer,work,G2,tiered-guidance,1,True,True,0.135967,54286,1017,3,4,16.1,True,2,2,2
claude-opus__pointer__G2__r2,claude-opus,pointer,work,G2,tiered-guidance,2,True,True,0.166576,92279,1336,5,6,19.07,True,2,2,2
claude-opus__pointer__G3__r1,claude-opus,pointer,work,G3,tiered-guidance,1,True,True,0.1295015,53939,760,3,4,11.34,True,2,2,2
claude-opus__pointer__G3__r2,claude-opus,pointer,work,G3,tiered-guidance,2,True,True,0.1700255,92519,1446,5,6,17.98,True,2,2,2
claude-opus__pointer__H1__r1,claude-opus,pointer,branch,H1,harness-stamp,1,True,True,0.118963,52925,597,2,3,10.62,True,2,2,2
claude-opus__pointer__H1__r2,claude-opus,pointer,branch,H1,harness-stamp,2,True,True,0.11980850000000001,52933,628,2,3,10.06,True,2,2,2
claude-opus__pointer__H2__r1,claude-opus,pointer,branch,H2,harness-stamp,1,True,True,0.12216350000000001,52959,708,2,3,10.51,True,2,2,2
claude-opus__pointer__H2__r2,claude-opus,pointer,branch,H2,harness-stamp,2,True,True,0.119391,52714,697,2,3,10.73,True,2,2,2
claude-opus__pointer__R1__r1,claude-opus,pointer,work,R1,tool-gated-review,1,True,True,0.48276899999999995,135375,3160,10,7,90.51,True,2,2,2
claude-opus__pointer__R1__r2,claude-opus,pointer,work,R1,tool-gated-review,2,True,True,0.2515625,91695,1356,7,5,33.4,True,2,2,2
claude-opus__pointer__R2__r1,claude-opus,pointer,work,R2,tool-gated-review,1,True,True,0.45973325,92314,1593,8,6,75.7,True,2,2,2
claude-opus__pointer__R2__r2,claude-opus,pointer,work,R2,tool-gated-review,2,True,True,0.3805545,92952,1545,8,5,65.45,True,2,2,2
